tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N311US,AIRBUS INDUSTRIE,1990-11-13,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N312AT,BOEING,2007-02-06,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N312SW,BOEING,1986-03-24,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N312UA,BOEING,2004-06-21,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N312US,AIRBUS INDUSTRIE,2004-10-20,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N313AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N313AT,BOEING,2007-02-09,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N313AW,BOEING,1990-11-07,737-3S3,1,Fixed Wing Multi-Engine,Turbo-Fan
N313SW,BOEING,1986-03-27,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N313UA,BOEING,1988-01-14,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N313US,AIRBUS INDUSTRIE,2004-09-21,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N31412,BOEING,2002-04-16,737-924,1,Fixed Wing Multi-Engine,Turbo-Fan
N314AW,BOEING,1990-11-21,737-3S3,1,Fixed Wing Multi-Engine,Turbo-Fan
N314NB,AIRBUS INDUSTRIE,2000-03-20,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N314SW,BOEING,1992-04-20,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N314UA,BOEING,1988-01-20,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N314US,AIRBUS INDUSTRIE,2004-09-22,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N315AS,BOEING,2002-10-02,737-990,1,Fixed Wing Multi-Engine,Turbo-Jet
N315AT,BOEING,2007-03-16,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N315AW,BOEING,1990-12-06,737-3S3,1,Fixed Wing Multi-Engine,Turbo-Fan
N315NB,AIRBUS INDUSTRIE,2000-05-22,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N315SW,BOEING,1992-04-20,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N315UA,BOEING,1988-01-21,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N315US,AIRBUS INDUSTRIE,2004-10-21,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N316AT,BOEING,2007-03-28,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N316AW,BOEING,1991-01-09,737-3S3,1,Fixed Wing Multi-Engine,Turbo-Fan
