DepDelay,ArrDelay,CarrierDelay,WeatherDelay,LateAircraftDelay,NASDelay,SecurityDelay,Delay_ID
15,-1,0,0,0,0,0,0
-11,-4,0,0,0,0,0,0
169,165,165,0,0,0,0,0
-5,-27,0,0,0,0,0,0
75,63,0,0,63,0,0,0
-3,1,0,0,0,0,0,0
-4,63,0,0,0,63,0,0
100,89,89,0,0,0,0,0
-1,-12,0,0,0,0,0,0
-5,-9,0,0,0,0,0,0
-9,-10,0,0,0,0,0,0
3,16,16,0,0,0,0,0
16,5,0,0,0,0,0,0
-4,-7,0,0,0,0,0,0
0,10,0,0,0,0,0,0
0,-13,0,0,0,0,0,0
93,106,0,0,106,0,0,0
87,81,81,0,0,0,0,0
45,43,43,0,0,0,0,0
79,67,67,0,0,0,0,0
40,63,0,40,0,23,0,0
34,26,0,26,0,0,0,0
8,19,8,0,0,11,0,0
0,12,0,0,0,0,0,0
110,123,110,0,0,13,0,0
0,-2,0,0,0,0,0,0
20,9,0,0,0,0,0,0
33,31,0,31,0,0,0,0
-3,-4,0,0,0,0,0,0
0,10,0,0,0,0,0,0
15,15,0,15,0,0,0,0
0,12,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
-7,-20,0,0,0,0,0,0
15,5,0,0,0,0,0,0
0,11,0,0,0,0,0,0
25,39,0,0,25,14,0,0
0,28,0,0,0,28,0,0
0,1,0,0,0,0,0,0
40,33,0,33,0,0,0,0
41,35,0,35,0,0,0,0
10,-9,0,0,0,0,0,0
125,105,0,105,0,0,0,0
-3,-22,0,0,0,0,0,0
2,-17,0,0,0,0,0,0
-10,-19,0,0,0,0,0,0
78,33,33,0,0,0,0,0
80,55,55,0,0,0,0,0
0,-6,0,0,0,0,0,0
0,17,0,0,0,17,0,0
-3,-12,0,0,0,0,0,0
-5,1,0,0,0,0,0,0
-10,-19,0,0,0,0,0,0
-5,-18,0,0,0,0,0,0
-7,-17,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
14,4,0,0,0,0,0,0
18,4,0,0,0,0,0,0
0,1,0,0,0,0,0,0
-12,-4,0,0,0,0,0,0
-5,-7,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
-6,-18,0,0,0,0,0,0
32,27,27,0,0,0,0,0
25,28,25,0,0,3,0,0
-3,8,0,0,0,0,0,0
0,8,0,0,0,0,0,0
0,-2,0,0,0,0,0,0
-10,-17,0,0,0,0,0,0
-5,-13,0,0,0,0,0,0
0,-15,0,0,0,0,0,0
15,-5,0,0,0,0,0,0
-5,-15,0,0,0,0,0,0
-9,-4,0,0,0,0,0,0
15,8,0,0,0,0,0,0
-6,-9,0,0,0,0,0,0
-5,-9,0,0,0,0,0,0
-10,-20,0,0,0,0,0,0
10,-8,0,0,0,0,0,0
-5,-11,0,0,0,0,0,0
-10,23,0,0,0,23,0,0
-5,-8,0,0,0,0,0,0
0,-2,0,0,0,0,0,0
-2,-12,0,0,0,0,0,0
-5,-7,0,0,0,0,0,0
0,-4,0,0,0,0,0,0
0,12,0,0,0,0,0,0
0,-2,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
0,4,0,0,0,0,0,0
-2,5,0,0,0,0,0,0
-4,-16,0,0,0,0,0,0
0,-7,0,0,0,0,0,0
0,3,0,0,0,0,0,0
5,-3,0,0,0,0,0,0
15,19,15,0,0,4,0,0
0,-19,0,0,0,0,0,0
-2,-22,0,0,0,0,0,0
0,-21,0,0,0,0,0,0
0,1,0,0,0,0,0,0
-10,-30,0,0,0,0,0,0
0,-4,0,0,0,0,0,0
-10,-4,0,0,0,0,0,0
0,4,0,0,0,0,0,0
-10,-19,0,0,0,0,0,0
0,8,0,0,0,0,0,0
-4,5,0,0,0,0,0,0
-10,-21,0,0,0,0,0,0
-8,-23,0,0,0,0,0,0
0,-8,0,0,0,0,0,0
0,-9,0,0,0,0,0,0
-2,-8,0,0,0,0,0,0
0,-5,0,0,0,0,0,0
0,8,0,0,0,0,0,0
0,19,0,0,0,19,0,0
0,8,0,0,0,0,0,0
0,-1,0,0,0,0,0,0
0,-7,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,-5,0,0,0,0,0,0
-5,-15,0,0,0,0,0,0
-10,-3,0,0,0,0,0,0
0,4,0,0,0,0,0,0
0,-3,0,0,0,0,0,0
-5,-13,0,0,0,0,0,0
0,4,0,0,0,0,0,0
-2,3,0,0,0,0,0,0
15,4,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
0,-22,0,0,0,0,0,0
0,-1,0,0,0,0,0,0
0,4,0,0,0,0,0,0
0,-16,0,0,0,0,0,0
-5,-25,0,0,0,0,0,0
0,6,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
-5,-18,0,0,0,0,0,0
-2,-9,0,0,0,0,0,0
130,118,118,0,0,0,0,0
-5,-8,0,0,0,0,0,0
0,-13,0,0,0,0,0,0
-8,-4,0,0,0,0,0,0
-7,-18,0,0,0,0,0,0
0,16,0,0,0,16,0,0
170,170,170,0,0,0,0,0
-13,-15,0,0,0,0,0,0
-2,-10,0,0,0,0,0,0
0,11,0,0,0,0,0,0
13,21,13,0,0,8,0,0
-8,-16,0,0,0,0,0,0
0,-14,0,0,0,0,0,0
0,-10,0,0,0,0,0,0
0,-13,0,0,0,0,0,0
0,1,0,0,0,0,0,0
5,6,0,0,0,0,0,0
-8,-12,0,0,0,0,0,0
0,-1,0,0,0,0,0,0
-10,-13,0,0,0,0,0,0
4,-4,0,0,0,0,0,0
-4,-22,0,0,0,0,0,0
0,-4,0,0,0,0,0,0
45,41,41,0,0,0,0,0
-5,3,0,0,0,0,0,0
0,-4,0,0,0,0,0,0
-1,-10,0,0,0,0,0,0
-5,-7,0,0,0,0,0,0
-10,-10,0,0,0,0,0,0
8,-51,0,0,0,0,0,0
0,2,0,0,0,0,0,0
-2,2,0,0,0,0,0,0
0,-14,0,0,0,0,0,0
-8,-18,0,0,0,0,0,0
-10,-20,0,0,0,0,0,0
-3,5,0,0,0,0,0,0
0,-3,0,0,0,0,0,0
-6,-10,0,0,0,0,0,0
-1,-6,0,0,0,0,0,0
-2,3,0,0,0,0,0,0
-10,-11,0,0,0,0,0,0
-7,-12,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,-10,0,0,0,0,0,0
-2,-8,0,0,0,0,0,0
-3,-5,0,0,0,0,0,0
-5,-13,0,0,0,0,0,0
-10,-34,0,0,0,0,0,0
0,-10,0,0,0,0,0,0
0,7,0,0,0,0,0,0
9,-7,0,0,0,0,0,0
0,-5,0,0,0,0,0,0
-2,-9,0,0,0,0,0,0
-4,-16,0,0,0,0,0,0
0,0,0,0,0,0,0,0
-10,10,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
15,12,0,0,0,0,0,0
-9,-15,0,0,0,0,0,0
0,-16,0,0,0,0,0,0
0,2,0,0,0,0,0,0
-6,-33,0,0,0,0,0,0
-10,-12,0,0,0,0,0,0
-5,-12,0,0,0,0,0,0
0,-6,0,0,0,0,0,0
0,-15,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
-10,-26,0,0,0,0,0,0
-10,-12,0,0,0,0,0,0
11,0,0,0,0,0,0,0
-10,-21,0,0,0,0,0,0
-6,-42,0,0,0,0,0,0
0,9,0,0,0,0,0,0
20,17,0,0,0,17,0,0
0,-1,0,0,0,0,0,0
-10,-16,0,0,0,0,0,0
25,30,25,0,0,5,0,0
-5,-13,0,0,0,0,0,0
0,-4,0,0,0,0,0,0
